ID,Nome,Cidade,Estado,Unidade Federativa (UF)
61,Milena,Duarte de Dias,AP,Amapá
62,Gustavo,Rezende,CE,Ceará
63,Sofia,Moreira,BA,Bahia
64,Diego,Lopes da Prata,PR,Paraná
65,Sofia,Costela de Cavalcanti,SC,Santa Catarina
66,Otávio,Nogueira do Oeste,PE,Pernambuco
67,Maitê,da Rosa,MT,Mato Grosso
68,Letícia,da Rosa da Serra,PE,Pernambuco
69,Yasmin,Azevedo das Flores,MT,Mato Grosso
70,Pedro,Freitas do Oeste,RO,Rondônia
71,Rafael,Costela do Sul,TO,Tocantins
72,Sofia,Ramos de Melo,RN,Rio Grande do Norte
73,João Pedro,da Luz,DF,Distrito Federal
74,Joana,Ribeiro de Caldeira,PB,Paraíba
75,Ana Beatriz,Aragão,RR,Roraima
76,Ana Julia,Costela de Nunes,BA,Bahia
77,Vicente,Porto,SC,Santa Catarina
78,Ana Sophia,Viana Grande,PR,Paraná
79,Alexia,Lima de Rodrigues,GO,Goiás
80,Emilly,da Costa de Freitas,PE,Pernambuco
81,Stella,Moraes,MG,Minas Gerais
82,Benjamin,Melo do Norte,PE,Pernambuco
83,Manuela,Ramos,SC,Santa Catarina
84,Alícia,Silveira,AP,Amapá
85,Maria Cecília,Pereira,RR,Roraima
86,Daniel,Costela da Praia,AM,Amazonas
87,Fernando,da Cruz da Serra,AL,Alagoas
88,Luiz Henrique,Cardoso da Serra,RN,Rio Grande do Norte
89,Pietra,da Cunha do Amparo,RR,Roraima
90,Lívia,da Rosa da Prata,CE,Ceará
91,Luigi,Dias da Mata,AM,Amazonas
92,Bryan,Fogaça,CE,Ceará
93,André,Martins do Norte,MG,Minas Gerais
94,Lucca,da Conceição,AP,Amapá
95,Laís,da Cruz do Galho,AL,Alagoas
96,Luiz Miguel,Cavalcanti da Mata,BA,Bahia
97,Matheus,das Neves de Carvalho,PR,Paraná
98,Maria Vitória,Pinto de Goiás,MS,Mato Grosso do Sul
99,Juan,Rezende da Praia,PR,Paraná
100,Elisa,Jesus de Nunes,AC,Acre
101,Diogo,Caldeira,TO,Tocantins
102,Laís,Gonçalves da Mata,DF,Distrito Federal
103,Elisa,Souza,SP,São Paulo
104,Maria,Ribeiro,AL,Alagoas
105,Antônio,da Rocha,SC,Santa Catarina
106,Augusto,Viana,GO,Goiás
107,Evelyn,Rezende do Sul,TO,Tocantins
108,Laís,Moura Verde,AM,Amazonas
109,Thales,das Neves de Viana,BA,Bahia
110,Milena,Gomes do Sul,MT,Mato Grosso
111,Alexandre,Moraes Grande,AP,Amapá
112,Evelyn,Oliveira,MS,Mato Grosso do Sul
113,Calebe,Araújo das Pedras,RR,Roraima
114,Lorena,Lopes do Oeste,PI,Piauí
115,Maria Cecília,Mendes,PI,Piauí
116,João Pedro,Barros,TO,Tocantins
117,Camila,Martins do Galho,RO,Rondônia
118,Camila,Pinto do Campo,RJ,Rio de Janeiro
119,Bianca,Moura,AM,Amazonas
120,Carolina,Araújo,MS,Mato Grosso do Sul
121,Rafaela,Costa,MT,Mato Grosso
122,Thomas,Correia da Mata,AP,Amapá
123,Daniela,Viana,RJ,Rio de Janeiro
124,Antônio,Viana,PB,Paraíba
125,Heitor,Lima,BA,Bahia
126,Eduardo,Barbosa,AC,Acre
127,Alexia,Gomes,CE,Ceará
128,Vitor Gabriel,Pinto Grande,MA,Maranhão
129,Joana,Lopes da Mata,ES,Espírito Santo
130,Catarina,da Rocha,SC,Santa Catarina
131,Esther,Campos,PB,Paraíba
132,Valentina,Lopes Verde,DF,Distrito Federal
133,Amanda,Moura do Norte,ES,Espírito Santo
134,Eduardo,Santos,RJ,Rio de Janeiro
135,Ana Lívia,Monteiro do Oeste,DF,Distrito Federal
136,Beatriz,Araújo do Norte,DF,Distrito Federal
137,João Lucas,Oliveira de Caldeira,MG,Minas Gerais
138,Vitor,Oliveira,AL,Alagoas
139,Cauê,Moura Grande,AM,Amazonas
140,André,Monteiro,AM,Amazonas
141,Rafael,Alves Grande,GO,Goiás
142,Bruno,Lima de Pinto,CE,Ceará
143,Vicente,Aragão,MG,Minas Gerais
144,Bernardo,Nascimento Paulista,RO,Rondônia
145,Bryan,Dias,MT,Mato Grosso
146,Calebe,Pinto Grande,DF,Distrito Federal
147,Ana,Oliveira,MT,Mato Grosso
148,Thiago,Barros,MA,Maranhão
149,Theo,Nogueira,SP,São Paulo
150,Emilly,Cardoso,SP,São Paulo
151,Vitor Gabriel,Pereira,CE,Ceará
152,João Guilherme,da Costa das Flores,RR,Roraima
153,Alana,Nogueira,MG,Minas Gerais
154,Otávio,Mendes,SC,Santa Catarina
155,Renan,Pires dos Dourados,AM,Amazonas
156,Rafael,Lopes das Flores,RJ,Rio de Janeiro
157,Anthony,Rocha,DF,Distrito Federal
158,Enzo,Costela,AP,Amapá
159,Raul,Gomes de Goiás,ES,Espírito Santo
160,Laura,da Conceição do Galho,RO,Rondônia
161,Luana,Alves de Ribeiro,BA,Bahia
162,Maria Alice,Mendes das Flores,CE,Ceará
163,André,Almeida,MS,Mato Grosso do Sul
164,Benjamin,Moreira de Minas,AM,Amazonas
165,Julia,Freitas,SC,Santa Catarina
166,Emilly,Melo do Norte,SC,Santa Catarina
167,Luiza,Barros,RS,Rio Grande do Sul
168,Marcos Vinicius,Sales,TO,Tocantins
169,Brenda,Farias do Oeste,RS,Rio Grande do Sul
170,Isabelly,Peixoto de Gonçalves,RR,Roraima
171,Lucas Gabriel,Costa de Porto,TO,Tocantins
172,Diogo,Lima da Prata,PA,Pará
173,Samuel,da Costa da Mata,TO,Tocantins
174,Noah,da Conceição,AC,Acre
175,Isaac,Pereira,TO,Tocantins
176,Fernando,Rodrigues do Oeste,AM,Amazonas
177,Lucca,Melo dos Dourados,RJ,Rio de Janeiro
178,Evelyn,Nogueira da Mata,MT,Mato Grosso
179,Yasmin,Rodrigues,SE,Sergipe
180,Bryan,Monteiro Verde,RS,Rio Grande do Sul
181,Heloísa,Peixoto,MS,Mato Grosso do Sul
182,Lívia,Ribeiro de Cardoso,PE,Pernambuco
183,Pedro Miguel,da Costa Alegre,MS,Mato Grosso do Sul
184,Lívia,Freitas,MG,Minas Gerais
185,Cauê,Correia de da Costa,AM,Amazonas
186,Bianca,Costela do Norte,RO,Rondônia
187,Juliana,Souza,PE,Pernambuco
188,Elisa,Campos das Pedras,RN,Rio Grande do Norte
189,João Guilherme,Novaes dos Dourados,PA,Pará
190,Gabriela,Viana de Castro,PE,Pernambuco
191,Raul,Araújo Verde,SE,Sergipe
192,Erick,Cunha,RN,Rio Grande do Norte
193,Rodrigo,Azevedo do Sul,RR,Roraima
194,Ana Lívia,Porto,DF,Distrito Federal
195,Murilo,Castro,SP,São Paulo
196,Manuela,da Costa do Amparo,CE,Ceará
197,Francisco,Rocha de Cardoso,SC,Santa Catarina
198,Clarice,Santos,PB,Paraíba
199,Mariana,Cunha,MT,Mato Grosso
200,Stella,Jesus da Praia,MT,Mato Grosso
201,Esther,Ferreira da Serra,MT,Mato Grosso
202,Gustavo,Novaes das Pedras,MS,Mato Grosso do Sul
203,Marcos Vinicius,Pires,RO,Rondônia
204,Heitor,Gonçalves,PA,Pará
205,Ana Clara,Moraes,MS,Mato Grosso do Sul
206,Cecília,Aragão de Teixeira,RR,Roraima
207,Breno,Lopes de Minas,RJ,Rio de Janeiro
208,Alícia,Aragão de Goiás,RJ,Rio de Janeiro
209,Clarice,Souza de Costela,PB,Paraíba
210,Diogo,da Cunha,GO,Goiás
211,João Lucas,Fogaça,AL,Alagoas
212,Isabelly,Novaes,MT,Mato Grosso
213,Isadora,Jesus do Sul,RN,Rio Grande do Norte
214,Noah,Cavalcanti de da Rocha,SP,São Paulo
215,Emanuelly,Ferreira,DF,Distrito Federal
216,Isadora,Mendes,CE,Ceará
217,Elisa,Farias Alegre,SE,Sergipe
218,Isabel,Moraes Paulista,GO,Goiás
219,Vitor Hugo,Dias do Sul,SE,Sergipe
220,Mariana,Nogueira de Jesus,PR,Paraná
221,Maria Julia,Campos,MG,Minas Gerais
222,Anthony,Pinto,TO,Tocantins
223,Gustavo,Barros do Sul,TO,Tocantins
224,Luiz Otávio,da Rosa,SE,Sergipe
225,Lorena,Dias,AC,Acre
226,João Pedro,Novaes,RR,Roraima
227,Maria Cecília,Azevedo,SP,São Paulo
228,Ana,Cardoso Grande,SE,Sergipe
229,Valentina,Moura,AC,Acre
230,Valentina,Sales do Galho,PA,Pará
231,Davi,Rocha das Flores,MS,Mato Grosso do Sul
232,Paulo,da Luz do Norte,RN,Rio Grande do Norte
233,Caroline,da Cruz de Pinto,RO,Rondônia
234,Bernardo,Cavalcanti do Amparo,GO,Goiás
235,Heitor,Nascimento,MA,Maranhão
236,Cecília,Pereira,RS,Rio Grande do Sul
237,Mariane,da Costa da Serra,RS,Rio Grande do Sul
238,Sabrina,Mendes,PB,Paraíba
239,Ana Luiza,da Mota,MA,Maranhão
240,Rafael,Azevedo de Nunes,SC,Santa Catarina
241,Nina,Costa,PB,Paraíba
242,Erick,Caldeira da Mata,SE,Sergipe
243,Olivia,da Paz do Oeste,TO,Tocantins
244,Camila,Cunha de Goiás,AL,Alagoas
245,Marcos Vinicius,Ramos,MS,Mato Grosso do Sul
246,Manuela,Sales,DF,Distrito Federal
247,Heloísa,Ferreira Verde,RN,Rio Grande do Norte
248,Caio,Lopes Alegre,BA,Bahia
249,Vitor Gabriel,da Rocha do Galho,SC,Santa Catarina
250,Ian,da Costa,AM,Amazonas
251,Erick,Teixeira do Amparo,SE,Sergipe
252,Yuri,Farias do Galho,PI,Piauí
253,Ana Júlia,Lima do Amparo,RS,Rio Grande do Sul
254,Rafael,Araújo do Sul,SC,Santa Catarina
255,Ana Luiza,Mendes,DF,Distrito Federal
256,Ana Beatriz,Gonçalves,PE,Pernambuco
257,Catarina,Castro dos Dourados,PR,Paraná
258,Gustavo,Gonçalves,RS,Rio Grande do Sul
259,Ryan,Pinto das Pedras,MS,Mato Grosso do Sul
260,Calebe,Carvalho da Praia,AL,Alagoas
261,Leonardo,Campos de da Cunha,RN,Rio Grande do Norte
262,Anthony,Nogueira,RO,Rondônia
263,Bernardo,Correia,AP,Amapá
264,Lorena,Carvalho dos Dourados,RS,Rio Grande do Sul
265,Cauê,Castro dos Dourados,SP,São Paulo
266,Fernanda,Martins,RJ,Rio de Janeiro
267,João Miguel,Moraes das Pedras,MA,Maranhão
268,João Felipe,da Cruz de Viana,ES,Espírito Santo
269,Breno,Melo,SC,Santa Catarina
270,Igor,Cardoso,SP,São Paulo
271,Matheus,Ramos Alegre,AL,Alagoas
272,João Vitor,Cardoso,GO,Goiás
273,João,Melo,BA,Bahia
274,Alexia,Pereira do Oeste,BA,Bahia
275,Vitória,das Neves Paulista,PA,Pará
276,Vitor Hugo,Castro do Sul,PR,Paraná
277,Erick,Gonçalves,MT,Mato Grosso
278,Vitória,Fogaça,AM,Amazonas
279,Luiz Felipe,Lopes de da Paz,PE,Pernambuco
280,Alice,Lopes da Serra,MT,Mato Grosso
281,Rafael,Duarte,MS,Mato Grosso do Sul
282,Luigi,Oliveira,PI,Piauí
283,Danilo,Fogaça,GO,Goiás
284,Laís,Cavalcanti,ES,Espírito Santo
285,Heitor,Silva do Amparo,AL,Alagoas
286,Bianca,Nogueira,TO,Tocantins
287,Vitor Gabriel,Cavalcanti das Flores,DF,Distrito Federal
288,Luiz Miguel,Rodrigues,AC,Acre
289,Maria Julia,Gonçalves de Viana,MT,Mato Grosso
290,Miguel,Nascimento de Minas,RO,Rondônia
291,Letícia,Fogaça do Sul,AC,Acre
292,Luiz Henrique,Melo do Oeste,SP,São Paulo
293,Lucas,Aragão do Campo,MA,Maranhão
294,Ana Júlia,Cardoso de Goiás,MT,Mato Grosso
295,Otávio,Barros,AM,Amazonas
296,João Miguel,Jesus,PA,Pará
297,Valentina,Santos,DF,Distrito Federal
298,Davi,Carvalho,BA,Bahia
299,Manuela,Cardoso,MG,Minas Gerais
300,Guilherme,Jesus Paulista,PE,Pernambuco
301,Cauê,Cardoso de Martins,ES,Espírito Santo
302,Maria Vitória,Monteiro,MS,Mato Grosso do Sul
303,Matheus,Nogueira,MS,Mato Grosso do Sul
304,Luiz Otávio,Oliveira de Goiás,RJ,Rio de Janeiro
305,Luiz Felipe,Rodrigues,MT,Mato Grosso
306,Alexandre,da Rosa da Praia,RS,Rio Grande do Sul
307,João Guilherme,Moura,RS,Rio Grande do Sul
308,Alice,Martins,MT,Mato Grosso
309,Fernanda,Santos,SE,Sergipe
310,Leonardo,Nogueira de Vieira,MG,Minas Gerais
311,João Vitor,Silveira,MT,Mato Grosso
312,Maitê,Costa,ES,Espírito Santo
313,Breno,da Cunha da Serra,RJ,Rio de Janeiro
314,Augusto,Almeida do Galho,AM,Amazonas
315,Agatha,Campos das Pedras,PR,Paraná
316,Lívia,Cunha,MA,Maranhão
317,Emanuel,Nascimento,AP,Amapá
318,Ana Luiza,Viana de Freitas,SP,São Paulo
319,Alana,Lopes,SC,Santa Catarina
320,Fernanda,da Paz,RJ,Rio de Janeiro
321,Esther,Araújo de Minas,RS,Rio Grande do Sul
322,Ana Julia,Costa,TO,Tocantins
323,Evelyn,Barros Paulista,RS,Rio Grande do Sul
324,Diego,Fernandes,SP,São Paulo
325,Maria Cecília,Moura,DF,Distrito Federal
326,Letícia,Cardoso do Galho,ES,Espírito Santo
327,Lara,Ramos Paulista,BA,Bahia
328,Ana Sophia,da Cruz,RS,Rio Grande do Sul
329,Luiz Henrique,Duarte,AP,Amapá
330,Kaique,Farias de Nogueira,BA,Bahia
331,Guilherme,Sales Paulista,CE,Ceará
332,Cauã,Cunha do Oeste,RO,Rondônia
333,Yago,Fogaça,PB,Paraíba
334,Alexia,da Paz Paulista,MG,Minas Gerais
335,Enrico,Rocha do Campo,SC,Santa Catarina
336,Davi,Silveira de Campos,RO,Rondônia
337,Ana Lívia,Correia,MT,Mato Grosso
338,Carlos Eduardo,das Neves,PI,Piauí
339,Cauê,Araújo,MS,Mato Grosso do Sul
340,Pedro Lucas,Pires,RJ,Rio de Janeiro
341,Clara,Monteiro Paulista,SP,São Paulo
342,Olivia,Pinto,AM,Amazonas
343,Joana,Melo,SE,Sergipe
344,Gabriel,Araújo do Norte,SP,São Paulo
345,Kaique,Santos,MG,Minas Gerais
346,Carlos Eduardo,Caldeira do Sul,AL,Alagoas
347,Yasmin,Mendes,AL,Alagoas
348,Bruna,Cardoso de Duarte,AC,Acre
349,Pietra,Lima,SC,Santa Catarina
350,André,da Mata,RJ,Rio de Janeiro
351,Breno,da Mota do Sul,AC,Acre
352,Daniel,da Conceição,PE,Pernambuco
353,Maria Alice,Santos,PR,Paraná
354,Ana Sophia,da Cruz de Minas,PA,Pará
355,Vitória,Cunha,AM,Amazonas
356,Natália,Araújo,RS,Rio Grande do Sul
357,João Vitor,Gonçalves,MG,Minas Gerais
358,Nina,da Luz da Prata,AC,Acre
359,Maria Cecília,Melo do Oeste,RR,Roraima
360,Luna,Castro Verde,AC,Acre
361,Maria Cecília,Nunes da Praia,PE,Pernambuco
362,Marcelo,Novaes de Lopes,AL,Alagoas
363,Clara,Castro de Cardoso,PA,Pará
364,Diogo,Castro,TO,Tocantins
365,Lorena,Gonçalves dos Dourados,DF,Distrito Federal
366,Alexia,Nunes da Mata,RS,Rio Grande do Sul
367,Bryan,da Paz do Amparo,SC,Santa Catarina
368,Ana Lívia,Costela Grande,PA,Pará
369,Stella,Farias Verde,CE,Ceará
370,Cauã,Martins do Oeste,SP,São Paulo
371,Lorena,Lima,AP,Amapá
372,Joaquim,das Neves do Campo,AM,Amazonas
373,Manuela,Nunes,BA,Bahia
374,Thiago,Fernandes dos Dourados,RO,Rondônia
375,Eloah,Cunha,PA,Pará
376,Rodrigo,Costela,ES,Espírito Santo
377,Alice,Caldeira,SC,Santa Catarina
378,Diego,Aragão de Castro,RS,Rio Grande do Sul
379,Joana,Dias,PR,Paraná
380,Nathan,Cardoso,MS,Mato Grosso do Sul
381,Isabel,Gomes,DF,Distrito Federal
382,João Vitor,Moreira da Prata,TO,Tocantins
383,Mirella,Martins Paulista,PR,Paraná
384,Davi Luiz,Dias Paulista,AC,Acre
385,Cecília,Cavalcanti das Flores,ES,Espírito Santo
386,Emanuella,Oliveira,DF,Distrito Federal
387,Vitória,Araújo,PR,Paraná
388,Stella,Rezende,DF,Distrito Federal
389,Isabel,Nascimento,AC,Acre
390,Emanuel,Moura das Flores,AL,Alagoas
391,Carlos Eduardo,da Paz do Norte,AP,Amapá
392,Thomas,Dias de Nunes,SC,Santa Catarina
393,Vitória,Viana,RN,Rio Grande do Norte
394,Juan,da Cunha Alegre,BA,Bahia
395,Luiz Felipe,Cardoso,AC,Acre
396,Fernanda,Jesus,RJ,Rio de Janeiro
397,Luana,Dias do Campo,DF,Distrito Federal
398,Otávio,da Rosa Paulista,AC,Acre
399,Marcelo,das Neves,TO,Tocantins
400,Rebeca,Almeida,RO,Rondônia
401,Vitor,Silveira,BA,Bahia
402,Elisa,da Mata de Melo,MG,Minas Gerais
403,Beatriz,da Cunha de Aragão,SE,Sergipe
404,Mariana,Duarte,RJ,Rio de Janeiro
405,Heloísa,Gomes,PI,Piauí
406,Alice,da Rosa,AC,Acre
407,Emanuel,Duarte,PE,Pernambuco
408,Juan,Alves Paulista,BA,Bahia
409,Ian,Souza de Moreira,PA,Pará
410,Nina,Cardoso,MA,Maranhão
411,Bruna,Pereira de Nunes,DF,Distrito Federal
412,Ana Julia,Lima de Silva,AP,Amapá
413,Antônio,Azevedo do Galho,AC,Acre
414,Benício,Santos de Monteiro,PE,Pernambuco
415,Rafaela,Ramos de Ribeiro,PB,Paraíba
416,Vicente,Souza,TO,Tocantins
417,Maria Eduarda,Lopes do Sul,MG,Minas Gerais
418,Ana Sophia,Castro,PB,Paraíba
419,João Miguel,das Neves,SP,São Paulo
420,Emanuel,da Rocha,ES,Espírito Santo
421,Diego,da Conceição da Serra,AP,Amapá
422,Larissa,da Costa de Pires,AC,Acre
423,Ana Carolina,Costa da Serra,DF,Distrito Federal
424,Danilo,da Rocha,AC,Acre
425,Raquel,Araújo de da Mota,RJ,Rio de Janeiro
426,Luiz Fernando,Carvalho,PR,Paraná
427,Juliana,Jesus de Moura,MA,Maranhão
428,Ana Clara,Pinto de Melo,MG,Minas Gerais
429,Maria,da Paz,PI,Piauí
430,Marcelo,Castro,MA,Maranhão
431,Lucas Gabriel,Peixoto do Campo,RO,Rondônia
432,Eloah,Moraes de Dias,RR,Roraima
433,Sofia,Novaes do Campo,RJ,Rio de Janeiro
434,Thomas,Castro das Pedras,PR,Paraná
435,Maria Fernanda,Melo,AP,Amapá
436,Thales,Barros,TO,Tocantins
437,Davi,Oliveira de Costela,GO,Goiás
438,Esther,da Mata da Serra,MA,Maranhão
439,Lucas,Correia do Sul,RN,Rio Grande do Norte
440,Cauê,Campos do Oeste,CE,Ceará
441,João Guilherme,da Luz de Martins,AP,Amapá
442,Isabella,Novaes de Fogaça,PA,Pará
443,Laís,Cavalcanti do Amparo,MT,Mato Grosso
444,Emanuella,da Cunha,TO,Tocantins
445,Davi Luiz,da Rocha,AM,Amazonas
446,Murilo,Nogueira,MT,Mato Grosso
447,Rodrigo,Peixoto da Mata,BA,Bahia
448,Vitor Hugo,Farias de Minas,MT,Mato Grosso
449,Diego,Campos de Santos,TO,Tocantins
450,Davi Luiz,Costela Grande,TO,Tocantins
451,Ryan,Caldeira,RJ,Rio de Janeiro
452,Luiz Miguel,Ribeiro,AP,Amapá
453,Lorenzo,Cavalcanti de Cunha,MS,Mato Grosso do Sul
454,Ana Beatriz,Ribeiro Verde,MS,Mato Grosso do Sul
455,Daniela,Pires,MT,Mato Grosso
456,Calebe,Alves Grande,MS,Mato Grosso do Sul
457,Maysa,Teixeira,RN,Rio Grande do Norte
458,Yasmin,da Costa de Goiás,AC,Acre
459,Sofia,da Cruz de Farias,AC,Acre
460,Emanuella,Ribeiro,RR,Roraima
461,Rodrigo,Moreira,PI,Piauí
462,Cecília,Oliveira da Serra,DF,Distrito Federal
463,Erick,Melo de Silveira,MA,Maranhão
464,Manuela,Campos,AL,Alagoas
465,Helena,Castro da Praia,RR,Roraima
466,Catarina,Ribeiro,MS,Mato Grosso do Sul
467,Lorenzo,Rodrigues,PR,Paraná
468,Samuel,Ferreira,PI,Piauí
469,Thomas,Cardoso de Araújo,TO,Tocantins
470,Isadora,Pires de Minas,MT,Mato Grosso
471,Ana Julia,Oliveira,RR,Roraima
472,Isabella,Barbosa dos Dourados,SC,Santa Catarina
473,Murilo,da Mata do Oeste,SC,Santa Catarina
474,Maria Julia,da Conceição dos Dourados,PI,Piauí
475,Luiz Henrique,Costa de Caldeira,PA,Pará
476,Isaac,Rodrigues,RN,Rio Grande do Norte
477,Marina,Porto de Monteiro,SE,Sergipe
478,Ana Júlia,da Cruz de da Conceição,RN,Rio Grande do Norte
479,Rebeca,Novaes de Azevedo,SC,Santa Catarina
480,Pedro,Vieira do Amparo,PE,Pernambuco
481,Alícia,das Neves,RS,Rio Grande do Sul
482,Fernanda,Araújo dos Dourados,SC,Santa Catarina
483,Davi Lucas,Silva de Duarte,PA,Pará
484,Pietro,da Mota do Oeste,ES,Espírito Santo
485,Pietra,Araújo,RN,Rio Grande do Norte
486,Luiz Fernando,da Conceição do Sul,SC,Santa Catarina
487,Mariana,Mendes,TO,Tocantins
488,Erick,Souza do Amparo,RN,Rio Grande do Norte
489,Eloah,Sales,PR,Paraná
490,Felipe,Cardoso,RN,Rio Grande do Norte
491,Rebeca,da Rosa,GO,Goiás
492,Maysa,Silva,SP,São Paulo
493,Luiz Fernando,da Cruz,TO,Tocantins
494,João Felipe,Barbosa do Amparo,PR,Paraná
495,Caio,Dias Alegre,CE,Ceará
496,Eloah,Farias,AP,Amapá
497,Maria Luiza,Azevedo da Serra,SC,Santa Catarina
498,Nathan,Sales de Gomes,AM,Amazonas
499,Valentina,Caldeira de da Mata,MS,Mato Grosso do Sul
500,Ana Julia,Almeida,SE,Sergipe
501,Pietra,Cunha de Azevedo,SE,Sergipe
502,Cauã,da Paz das Flores,RN,Rio Grande do Norte
503,Ana Beatriz,da Luz da Praia,PE,Pernambuco
504,Vitor Gabriel,Ribeiro de Vieira,SP,São Paulo
505,Benjamin,Ferreira,PI,Piauí
506,Ana Carolina,Rezende,RS,Rio Grande do Sul
507,Pietro,Costa do Sul,AM,Amazonas
508,Juliana,Cunha de Lima,RR,Roraima
509,Julia,Silveira,BA,Bahia
510,Laura,Sales Grande,AP,Amapá
511,Lucca,Ribeiro,TO,Tocantins
512,Luiz Fernando,Porto Verde,DF,Distrito Federal
513,Heitor,Ferreira,SE,Sergipe
514,Giovanna,da Mota de Cunha,BA,Bahia
515,Rafaela,Peixoto,RO,Rondônia
516,Ana Sophia,Monteiro Grande,RR,Roraima
517,Clara,Monteiro,AP,Amapá
518,Davi,Pires,RR,Roraima
519,Samuel,Moraes,MA,Maranhão
520,João Pedro,Oliveira,AL,Alagoas
521,Luigi,Vieira de Peixoto,RN,Rio Grande do Norte
522,Calebe,Ribeiro,RS,Rio Grande do Sul
523,Maysa,Barbosa,SE,Sergipe
524,Maria,Ribeiro Verde,AC,Acre
525,Carolina,da Rocha,AM,Amazonas
526,Bianca,Souza de Viana,PI,Piauí
527,Davi Lucca,Azevedo da Prata,PB,Paraíba
528,Pedro Miguel,Carvalho,MA,Maranhão
529,Milena,da Cunha,AC,Acre
530,Raul,Santos,AP,Amapá
531,Maria Clara,Freitas,PA,Pará
532,João Guilherme,Dias,CE,Ceará
533,Juan,Fernandes,DF,Distrito Federal
534,Mirella,Viana,TO,Tocantins
535,Ana Sophia,Melo,AM,Amazonas
536,Theo,Ribeiro,ES,Espírito Santo
537,Maria Luiza,Rezende,RJ,Rio de Janeiro
538,Ian,Moreira,PI,Piauí
539,Mariana,Barbosa do Galho,BA,Bahia
540,Vinicius,Duarte,MT,Mato Grosso
541,Rebeca,das Neves,BA,Bahia
542,Diego,Castro das Flores,MG,Minas Gerais
543,Ana Lívia,da Luz,AP,Amapá
544,Maysa,Cardoso de Martins,ES,Espírito Santo
545,Manuela,da Rocha,RO,Rondônia
546,Pietra,Cardoso,AL,Alagoas
547,Maria Vitória,Moraes,SP,São Paulo
548,Luiza,Porto,RJ,Rio de Janeiro
549,Maria Vitória,Moraes,SE,Sergipe
550,Alexia,Ramos,TO,Tocantins
551,Alexia,Moura dos Dourados,RO,Rondônia
552,Breno,Jesus,PI,Piauí
553,Bianca,da Rocha,RN,Rio Grande do Norte
554,Marcos Vinicius,Porto das Pedras,CE,Ceará
555,Sarah,Viana,RO,Rondônia
556,Alícia,da Cruz,PA,Pará
557,Bárbara,Caldeira,RN,Rio Grande do Norte
558,Igor,Souza do Amparo,CE,Ceará
